year,province,mthincome_mthexp_totaldebt_pctexptoincome,soc_eco_class1,soc_eco_class2,value,unit,attribute,source
2566,ระยอง,หนี้สินเฉลี่ยต่อครัวเรือนทั้งสิ้น,ผู้ไม่ได้ปฏิบัติงานเชิงเศรษฐกิจ,ผู้ไม่ได้ปฏิบัติงานเชิงเศรษฐกิจ,53801.00,บาท,,สำนักงานสถิติแห่งชาติ
2566,ระยอง,ร้อยละของค่าใช้จ่ายต่อรายได้,รวมทั้งสิ้น,รวมทั้งสิ้น,84.06,ร้อยละ,,สำนักงานสถิติแห่งชาติ
2566,ระยอง,ร้อยละของค่าใช้จ่ายต่อรายได้,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เป็นเจ้าของที่ดิน,56.51,ร้อยละ,,สำนักงานสถิติแห่งชาติ
2566,ระยอง,ร้อยละของค่าใช้จ่ายต่อรายได้,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เช่าที่ดิน/ทำฟรี,.00,ร้อยละ,"ศูนย์จุดศูนย์ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0",สำนักงานสถิติแห่งชาติ
2566,ระยอง,ร้อยละของค่าใช้จ่ายต่อรายได้,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ประมงป่าไม้ล่าสัตว์หาของป่าบริการทางการเกษตร,56.52,ร้อยละ,,สำนักงานสถิติแห่งชาติ
2566,ระยอง,ร้อยละของค่าใช้จ่ายต่อรายได้,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,94.10,ร้อยละ,,สำนักงานสถิติแห่งชาติ
2566,ระยอง,ร้อยละของค่าใช้จ่ายต่อรายได้,ลูกจ้าง,ผู้จัดการนักวิชาการและผู้ปฏิบัติงานวิชาชีพ,82.20,ร้อยละ,,สำนักงานสถิติแห่งชาติ
2566,ระยอง,ร้อยละของค่าใช้จ่ายต่อรายได้,ลูกจ้าง,คนงานเกษตรป่าไม้และประมง,104.09,ร้อยละ,,สำนักงานสถิติแห่งชาติ
2566,ระยอง,ร้อยละของค่าใช้จ่ายต่อรายได้,ลูกจ้าง,คนงานด้านการขนส่งและงานพื้นฐาน,90.06,ร้อยละ,,สำนักงานสถิติแห่งชาติ
2566,ระยอง,ร้อยละของค่าใช้จ่ายต่อรายได้,ลูกจ้าง,เสมียนพนักงานขายและให้บริการ,86.77,ร้อยละ,,สำนักงานสถิติแห่งชาติ
2566,ระยอง,ร้อยละของค่าใช้จ่ายต่อรายได้,ลูกจ้าง,ผู้ปฏิบัติงานในกระบวนการผลิตก่อสร้างและเหมืองแร่,83.66,ร้อยละ,,สำนักงานสถิติแห่งชาติ
2566,ระยอง,ร้อยละของค่าใช้จ่ายต่อรายได้,ผู้ไม่ได้ปฏิบัติงานเชิงเศรษฐกิจ,ผู้ไม่ได้ปฏิบัติงานเชิงเศรษฐกิจ,94.17,ร้อยละ,,สำนักงานสถิติแห่งชาติ
